"date_time","date","day","field","harvest","hoppers","n_leaves","counter","plant"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"1"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"2"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",2,30,NA,"3"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"4"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",1,30,NA,"5"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",3,30,NA,"6"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",2,30,NA,"7"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",1,30,NA,"8"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",1,30,NA,"9"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"10"
2017-06-05 06:30:00,2017-06-05,1,"B","N",2,30,NA,"1"
2017-06-05 06:30:00,2017-06-05,1,"B","N",2,30,NA,"2"
2017-06-05 06:30:00,2017-06-05,1,"B","N",0,30,NA,"3"
2017-06-05 06:30:00,2017-06-05,1,"B","N",3,30,NA,"4"
2017-06-05 06:30:00,2017-06-05,1,"B","N",1,30,NA,"5"
2017-06-05 06:30:00,2017-06-05,1,"B","N",2,30,NA,"6"
2017-06-05 06:30:00,2017-06-05,1,"B","N",0,30,NA,"7"
2017-06-05 06:30:00,2017-06-05,1,"B","N",3,30,NA,"8"
2017-06-05 06:30:00,2017-06-05,1,"B","N",4,30,NA,"9"
2017-06-05 06:30:00,2017-06-05,1,"B","N",0,30,NA,"10"
2017-06-06 06:12:00,2017-06-06,2,"A","N",2,30,NA,"1"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"2"
2017-06-06 06:12:00,2017-06-06,2,"A","N",2,30,NA,"3"
2017-06-06 06:12:00,2017-06-06,2,"A","N",1,30,NA,"4"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"5"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"6"
2017-06-06 06:12:00,2017-06-06,2,"A","N",1,30,NA,"7"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"8"
