"date","field","plant","shoot","diameter"
2017-07-14,"B","1","1",1.88
2017-07-14,"B","1","2",2.76
2017-07-14,"B","1","3",1.94
2017-07-14,"B","1","4",2.59
2017-07-14,"B","1","5",1.66
2017-07-14,"B","1","6",2.4
2017-07-14,"B","1","7",2.05
2017-07-14,"B","2","1",2.15
2017-07-14,"B","2","2",2.06
2017-07-14,"B","2","3",1.97
2017-07-14,"B","2","4",2.12
2017-07-14,"B","2","5",2.3
2017-07-14,"B","2","6",2.14
2017-07-14,"B","2","7",1.76
2017-07-14,"B","3","1",2.42
2017-07-14,"B","3","2",2.9
2017-07-14,"B","3","3",2.21
2017-07-14,"B","3","4",2.75
2017-07-14,"B","3","5",2.4
2017-07-14,"B","3","6",2.74
2017-07-14,"B","3","7",2.48
2017-07-14,"B","4","1",2.54
2017-07-14,"B","4","2",2.4
2017-07-14,"B","4","3",2.12
2017-07-14,"B","4","4",2.17
2017-07-14,"B","4","5",2.58
2017-07-14,"B","4","6",2.01
2017-07-14,"B","4","7",2.61
2017-07-14,"B","5","1",2.59
2017-07-14,"B","5","2",2.13
2017-07-14,"B","5","3",2.02
2017-07-14,"B","5","4",2.35
2017-07-14,"B","5","5",2.06
2017-07-14,"B","5","6",2.31
2017-07-14,"B","5","7",2.72
2017-07-14,"B","6","1",2.43
2017-07-14,"B","6","2",2.17
2017-07-14,"B","6","3",2.29
2017-07-14,"B","6","4",2.1
2017-07-14,"B","6","5",1.85
2017-07-14,"B","6","6",2.09
2017-07-14,"B","6","7",2.27
2017-07-14,"B","7","1",1.9
2017-07-14,"B","7","2",1.72
2017-07-14,"B","7","3",1.94
2017-07-14,"B","7","4",1.8
2017-07-14,"B","7","5",2.25
2017-07-14,"B","7","6",1.85
2017-07-14,"B","7","7",2.18
2017-07-14,"B","8","1",2.04
2017-07-14,"B","8","2",2.35
2017-07-14,"B","8","3",2.32
2017-07-14,"B","8","4",2.03
2017-07-14,"B","8","5",2.28
2017-07-14,"B","8","6",2.25
2017-07-14,"B","8","7",2
2017-07-14,"B","9","1",2.18
2017-07-14,"B","9","2",2.22
2017-07-14,"B","9","3",2.28
2017-07-14,"B","9","4",1.98
2017-07-14,"B","9","5",2.59
2017-07-14,"B","9","6",2.08
2017-07-14,"B","9","7",1.87
2017-07-14,"B","10","1",1.74
2017-07-14,"B","10","2",2.71
